srno,name,link,2024-10-08,2024-10-09,2024-10-10,2024-10-11,2024-10-12,2024-10-13,2024-10-14,2024-10-16,2024-10-24
1,"Apple iPad (10th Generation): with A14 Bionic chip, 27.69 cm (10.9″) Liquid Retina Display, 64GB, Wi-Fi 6, 12MP front/12MP Back Camera, Touch ID, All-Day Battery Life – Blue",https://www.amazon.in/Apple-2022-10-9-inch-iPad-Wi-Fi/dp/B0BJMGXLYZ/ref=sr_1_1_sspa?crid=2W8JEPXKIAPE&dib=eyJ2IjoiMSJ9.lKq5QRl_7zpnALQCmuoc4gzmKXh-y-DharlL37KaDRcefeYCbfLTUKzot2w2cv1Y--F4MdLTDD4_pldxubFe_gJR1MFMrBRqZud58ZNxyK9os7TJVvSHvJ9BiKzeY3Kg3J0kqHDlkNDRg1lH9iDImmQ5MhzhQnmXUT15tf-RwhpxwvS-P9TkkYT75o9l3AAa7WobBCj6Bsxjm8v4EK1aYjgxIGLTm7GQj2zUKWQssQqyQsWULlP2hAGaoNKLKto36eujOe0fIMa5EhbPKSSjcMNUOmxZGcLMIpxHYRrDxxg.HQTKd6Zly59DHtzwDTyVsKr-KSh-TcAIJ5bEP-e6dW8&dib_tag=se&keywords=ipad+9th+generation&qid=1728156136&s=computers&sprefix=ipad%2Ccomputers%2C231&sr=1-1-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&psc=1,"₹28,999","₹28,999","₹30,990","₹30,999","₹30,999","₹30,999","₹31,999",,
2,"OnePlus 12R (Cool Blue, 8GB RAM, 256GB Storage)",https://www.amazon.in/dp/B0CX27M63L?pd_rd_w=QnqAn&content-id=amzn1.sym.e5c3fc1c-1b43-489a-b13c-379b3db20f31&pf_rd_p=e5c3fc1c-1b43-489a-b13c-379b3db20f31&pf_rd_r=Z6EDF22T8KSW9ZMBX1V5&pd_rd_wg=2jZQT&pd_rd_r=4ccda466-56e3-4330-abfd-8ca10ce36c9a,"₹37,998","₹37,998","₹37,990","₹37,998","₹37,998","₹37,999","₹37,999",,
3,"Sony HT-S40R Real 5.1ch Dolby Audio Soundbar for TV with Subwoofer & Wireless Rear Speakers, 5.1ch Home Theatre System (600W, Bluetooth & USB Connectivity, HDMI & Optical Connectivity, Sound Mode)",https://www.amazon.in/dp/B0961X3R2H/ref=CEPC_heroslider_4?pf_rd_r=NQJ6CH77Z9STGR4Q1WFQ&pf_rd_p=7c6ac194-39a6-4188-a9e5-979ce6229e05&pf_rd_m=A1VBAL9TL5WCBF&pf_rd_s=merchandised-search-9&pf_rd_t=&pf_rd_i=976419031,"₹23,989","₹23,989","₹23,989","₹23,988","₹23,988","₹23,988","₹23,988",,
4,Apple iPhone 15 Pro Max (256 GB) - Natural Titanium,https://www.amazon.in/Apple-iPhone-Pro-Max-256/dp/B0CHX68YG9/ref=sr_1_1?crid=38II6ZRYMWSKG&dib=eyJ2IjoiMSJ9.esCM7BkqZRCswA9XfYmCSgX1yzJ5cPpSWXGnPWFZfh4cbFs4Sjk7iliky-aSzCwLdQfvWk7FSfWm65BxBzcUB5DXUYmt1N4VuxN7HBMw_y53XWZSC-czhFXBZ0EOE1v5a0gKDk3lNEGvfDXlDwiBj8wtQA6oOMJg5riGGbqziyi4YOV7XiTKTidL30crz9EH7ffg2nCYvUm7PT76d5V15E3VrmQONK9ZVhaNN6UNNwM.myM_l7bY9UEfrD4Zbl_cFlYa5gkjm90FoHqfvbqBD0c&dib_tag=se&keywords=16+pro+max&qid=1728325857&sprefix=16+pro+ma%2Caps%2C227&sr=8-1,"₹1,34,900","₹1,34,900","₹1,34,900","₹1,34,900","₹1,34,900","₹1,34,900","₹1,34,900",,
5,"Sony WF-1000XM5 Best Active Noise Cancelling Wireless Bluetooth Earbuds with Mic, TWS, Up to 36 Hours Battery Life - Black",https://www.amazon.in/gp/product/B0C33XXS56/ref=s9_bw_cg_Budget_2b1_w?pf_rd_m=AT95IG9ONZD7S&pf_rd_s=merchandised-search-10&pf_rd_r=PRN9S6K0VQ52MD2DSX7Y&pf_rd_t=101&pf_rd_p=9259f638-651e-4ae5-8f87-4379a4ef5163&pf_rd_i=21541572031,"₹20,988","₹20,988","₹20,988","₹20,988","₹20,988","₹20,988","₹20,988",,
6,"Amazon Echo Pop| Smart speaker with Alexa and Bluetooth| Loud sound, balanced bass, crisp vocals| White",https://www.amazon.in/dp/B09ZWXB3W1/ref=sspa_dk_detail_5?psc=1&pf_rd_p=a67825cd-bf53-4190-b32f-f5084546a8c2&pf_rd_r=TPD8H7Q5MSP0XAV4HTE4&pd_rd_wg=ds5jl&pd_rd_w=ymNnJ&content-id=amzn1.sym.a67825cd-bf53-4190-b32f-f5084546a8c2&pd_rd_r=57f19ec9-cd43-45c2-aab2-93eddbc72ec2&s=electronics&sp_csd=d2lkZ2V0TmFtZT1zcF9kZXRhaWwy,"₹2,949","₹2,549","₹1,549","₹2,349","₹2,349","₹1,949","₹2,949",,
7,"Marshall Willen Portable Bluetooth Speaker with 15+ hours of portable playtime, Dust & Waterproof (IP67) - Cream.",https://www.amazon.in/dp/B0B25HH4QR/ref=sspa_dk_detail_5?psc=1&pd_rd_i=B0B25HH4QR&pd_rd_w=0PeYR&content-id=amzn1.sym.9f1cb690-f0b7-44de-b6ff-1bad1e37d3f0&pf_rd_p=9f1cb690-f0b7-44de-b6ff-1bad1e37d3f0&pf_rd_r=4Y8NSEX2RFD66MG8AVND&pd_rd_wg=aGGIw&pd_rd_r=b721314f-5dba-4d9f-8bba-1ffdeb3956cd&sp_csd=d2lkZ2V0TmFtZT1zcF9kZXRhaWxfdGhlbWF0aWM,"₹8,498","₹8,498","₹8,498","₹8,498","₹8,498","₹8,498","₹8,498",,
8,"Harman Kardon Aura Studio 3, Award Winning Timeless Iconic & Elegant Design, Bluetooth Speaker with 360-Degree Immersive Sound & Ambient Light Effects",https://www.amazon.in/Harman-Kardon-Aura-Studio-Bluetooth/dp/B08B1DW4Y5/ref=pd_ci_mcx_mh_mcx_views_0?pd_rd_w=co5hu&content-id=amzn1.sym.120dbce3-1ee8-4441-9b7e-775b1c676a73%3Aamzn1.symc.ca948091-a64d-450e-86d7-c161ca33337b&pf_rd_p=120dbce3-1ee8-4441-9b7e-775b1c676a73&pf_rd_r=FNZ5P2G0CJTYEKGB0QBQ&pd_rd_wg=brop8&pd_rd_r=d28895a2-0396-4365-9c65-a64cd6484abc&pd_rd_i=B08B1DW4Y5,"₹18,999","₹18,999","₹18,999","₹18,999","₹18,999","₹17,999","₹17,999",,
9,Vincent Chase By Lenskart | Full Rim Pilot | Polarized and 100% UV Protected | Men & Women | Medium | VC 5158/P,https://www.amazon.in/Sunglasses-Polarized-Protected-VC-5158/dp/B08VHMCMWH/ref=sr_1_16?dib=eyJ2IjoiMSJ9.e90Rr8eQ_pCIyeBHJolimnvh23ZnV34WiPLmmyU3oWgfr29B1amP2Tvx_XfQ-P71phFIwrVXTBH3MbQNnyySSO5pTyTjgmCUSBp35AkqYo-R29knWYLf2sEqeXGvm5N5DUEdJibNM53IBLUJGAq8PGmnzBZc-hwU9JJQMisHpyaWGcy7TC_ZdM5S__trpIt4Necn7Q1I0B0TrNQcOgrcJKK_s20ozJ8XxOR4g6wVRBA0mfzYOMM9a7RR07D7BUWMcDBtESWrepOME151jR8yEk3lBKg58sEEhh2FCXeoe_Y.ccgz3E2jdzvxqqKgDadoZM--1ildHgGcAvfA6FU0_Fw&dib_tag=se&keywords=goggles&qid=1728209830&sr=8-16,₹524,₹524,₹524,₹519,₹519,₹519,₹519,,
10,"Urban Terrain Steel Bicycle 27.5 inch Single Speed with Front Suspension & Disc Brake Cycle for Men/Boys Mountain Bike UT5000S27.5 | Ideal for 15+Years, Unisex, Frame Size : 17.5 inch (White)",https://www.amazon.in/dp/B09N18WPNQ/ref=QA6up10Expander_en_IN_1?pf_rd_r=A3XQNWGQ9665KGXE4BYD&pf_rd_p=5e384957-15a3-4d88-88d2-fabb8a6872e1&pf_rd_m=A1VBAL9TL5WCBF&pf_rd_s=merchandised-search-14&pf_rd_t=&pf_rd_i=1984443031&th=1,,,"₹5,999","₹5,999","₹5,999","₹5,999","₹5,999",,
